Inf,Club,Club Job,Preferred Job,Salary,Rating,WR,Tac Knw,Att,Def,Men,Tec,TCo,Mot,Det,Dis,Personality,Name
FrA,,-,Technical Director,-,,,14,9,13,12,9,14,15,11,17,Balanced,Luca Mattiello
,AS Saint-Étienne,Coach,Coach,"$4,300 p/w",,,11,12,11,12,11,14,15,15,7,Resolute,Julien Sablé
,Valenciennes FC,Goalkeeping Coach,Goalkeeping Coach,"$1,400 p/w",,,5,8,7,9,8,6,11,16,14,Model Citizen,Jérémie Janot
,Montpellier HSC,Montpellier HSC 2 Assistant Coach,Assistant Coach,"$4,300 p/w",,,6,5,5,8,5,8,16,15,11,Resolute,Philippe Lambert
,Córdoba,Chief Data Analyst,Data Analyst,"$2,500 p/w",,,10,6,7,8,12,13,14,9,13,Fairly Sporting,Rubén Martínez
FrA,,-,Coach,-,,,12,13,12,12,10,12,15,16,11,Fairly Determined,Jon Pascua
,F.C. Andorra,Assistant Coach,Assistant Coach,"$1,000 p/w",,,9,11,10,9,10,9,16,14,11,Balanced,Fabián Rivero
,Granada,Fitness Coach,Fitness Coach,"$2,900 p/w",,,6,6,5,8,8,7,17,10,13,Balanced,Víctor Lafuente
FrA,,-,Assistant Coach,-,,,9,13,8,8,9,11,14,14,10,Balanced,Josh Wolff
,Bayer 04 Leverkusen,Under 19s Coach,Coach,"$3,300 p/w",,,12,7,14,10,12,14,19,14,10,Fairly Professional,Patrick Weiser
FrA,,-,Coach,-,,,13,10,13,11,10,13,14,14,14,Fairly Ambitious,Jim Goodwin
,Juventus,Under 18s Assistant Coach,Assistant Coach,"$3,700 p/w",,,12,14,10,12,10,17,15,14,15,Spirited,Angelo Alessio
,AS Béziers,Assistant Coach,Assistant Coach,"$1,700 p/w",,,11,11,10,10,10,10,14,15,7,Resolute,Stéphane Pichot
,Córdoba,Head of Youth Development,Head of Youth Development,"$2,300 p/w",,,13,11,14,10,13,13,18,13,3,Balanced,Rafa Herrerías
,Real Sociedad,Physio,Physio,"$5,500 p/w",,,10,5,5,5,5,9,15,8,12,Balanced,Iñaki Ayuela
FrA,,-,Technical Director,-,,,13,9,10,10,13,13,14,17,10,Fairly Determined,Stefan Breuer
FrA,,-,Assistant Coach,-,,,11,13,11,11,13,12,13,13,16,Fairly Ambitious,James Simmonds
,Stade Rennais,Stade Rennais 2 Goalkeeping Coach,Goalkeeping Coach,"$2,600 p/w",,,6,8,5,5,8,6,18,12,10,Fairly Professional,Jérôme Hiaumet
FrA,,-,Head Coach,-,,,8,9,11,13,8,8,18,13,18,Balanced,David Artell
,Burnley,Assistant Coach,Assistant Coach,"$7,500 p/w",,,15,12,8,12,11,10,15,16,10,Resolute,Adam Murray
,UD Logroñés,Assistant Coach,Assistant Coach,"$1,400 p/w",,,11,12,13,10,13,10,16,12,16,Balanced,Manolo Sánchez
Wnt,,-,Assistant Coach,-,,,8,7,15,9,9,12,18,15,10,Fairly Determined,Wayne Hatswell
FrA,,-,Head Coach,-,,,12,14,7,11,12,11,14,14,16,Ambitious,Ryan Lowe
,Cultural Leonesa,Chief Scout,Scout,"$1,200 p/w",,,8,8,5,7,7,10,16,18,10,Determined,José Luis Ribera
,West Ham,Coach,Coach,"$7,750 p/w",,,9,10,12,12,11,10,15,17,12,Fairly Determined,Kevin Nolan
,Millwall,Head Physio,Physio,$925 p/w,,,4,5,5,5,5,5,12,13,5,Balanced,Dave Rennie
,Millwall,Goalkeeping Coach,Goalkeeping Coach,"$1,500 p/w",,,5,7,7,12,7,6,13,12,9,Fairly Loyal,Lee Turner
,Werder Bremen,Assistant Coach,Assistant Coach,"$5,250 p/w",,,11,9,7,11,11,9,18,14,11,Fairly Professional,Jörg Heinrich
,Watford,Scout,Scout,"$2,100 p/w",,,7,7,6,7,4,7,10,15,12,Fairly Determined,Iain Moody
,Stade Rennais,Under 19s Coach,Coach,"$4,800 p/w",,,8,15,12,11,14,11,16,13,10,Light-Hearted,Mickaël Pagis
,Watford,Goalkeeping Coach,Goalkeeping Coach,"$5,750 p/w",,,5,8,8,6,8,6,14,15,9,Perfectionist,Arnauld Lucas
,West Brom,Under 23s Goalkeeping Coach,Goalkeeping Coach,"$2,000 p/w",,,5,6,7,10,7,4,16,12,4,Fairly Ambitious,Boaz Myhill
FrA,,-,Technical Director,-,,,8,11,13,6,12,9,10,13,12,Spirited,Jeremias Broll
FrA,,-,Coach,-,,,11,9,14,12,9,12,11,15,13,Resolute,Rob Edwards
,Real Betis,Physio,Physio,"$4,900 p/w",,,10,5,5,5,5,7,16,14,7,Balanced,José Manuel Pizarro
,AD Alcorcón,Goalkeeping Coach,Goalkeeping Coach,"$1,700 p/w",,,9,7,6,5,3,8,20,14,5,Balanced,Daniel Lima
,Greuther Fürth,General Manager,General Manager,"$2,000 p/w",,,7,15,4,7,13,7,9,12,16,Fairly Professional,Rachid Azzouzi
,Levante,Under 19s Head Coach,Coach,"$3,900 p/w",,,14,14,16,16,16,15,20,15,15,Fairly Determined,Alessio Lisci
,Derby County,Coach,Coach,"$80,000 p/w",,,9,11,12,13,11,12,18,15,10,Ambitious,Wayne Rooney
,Bordeaux,Sports Scientist,Sports Scientist,"$4,300 p/w",,,8,6,6,6,4,8,14,13,9,Balanced,Rafael Maldonado
FrA,,-,Assistant Coach,-,,,13,7,7,7,6,8,19,12,9,Balanced,Diego Ribera
FrA,,-,Head Coach,-,,,12,6,10,12,12,13,17,14,18,Balanced,Anthony Hudson
FrA,,-,Sports Scientist,-,,,8,6,12,11,7,7,15,13,12,Balanced,Rainer Baron
FrA,,-,Goalkeeping Coach,-,,,5,9,11,5,8,7,16,13,11,Balanced,Aron Hyde
,Bordeaux,Scout,Scout,"$4,100 p/w",,,13,8,8,8,8,12,12,11,14,Balanced,Eric Guérit
,Borussia Mönchengladbach,Scout,Scout,"$2,300 p/w",,,12,10,15,13,10,14,13,13,12,Fairly Professional,Steffen Korell
FrA,,-,Head Coach,-,,,14,7,7,15,13,16,1,13,17,Fairly Professional,Alain Perrin
FrA,,-,Physio,-,,,6,4,5,5,5,7,12,8,14,Balanced,James Haycock
,Stoke,Goalkeeping Coach,Goalkeeping Coach,"$1,700 p/w",,,10,2,5,12,7,8,17,14,6,Professional,Alessandro Barcherini
FrA,,-,Fitness Coach,-,,,5,7,7,7,1,4,13,10,16,Balanced,James Barrow
FrA,,-,Head Coach,-,,,11,12,10,10,10,14,15,19,14,Driven,Marc Dos Santos
FrA,,-,Technical Director,-,,,12,13,11,14,8,10,13,12,11,Light-Hearted,Darren Biddescombe
FrA,,-,Head of Youth Development,-,,,13,13,14,14,10,15,12,15,14,Fairly Determined,Henri Stambouli
,Villarreal,Sports Scientist,Sports Scientist,"$5,250 p/w",,,10,5,5,8,8,8,16,10,12,Balanced,Ángel Torres
,Burnley,Sports Scientist,Sports Scientist,"$2,500 p/w",,,4,7,7,7,5,7,13,12,2,Balanced,Ronan Kavanagh
Wnt,US Orléans,Assistant Coach,Assistant Coach,"$1,900 p/w",,,11,6,8,7,8,8,14,15,14,Resolute,Gilles Bourges
FrA,,-,Head of Youth Development,-,,,12,13,11,10,11,12,13,12,9,Temperamental,Moritz Hemlein
FrA,,-,Head Coach,-,,,13,10,13,9,12,14,17,14,18,Ambitious,Peter Sørensen
Wnt,,-,Assistant Coach,-,,,13,5,13,11,8,10,13,17,9,Resolute,Tekio
,Dijon FCO,Chief Scout,Scout,"$3,200 p/w",,,9,3,7,6,7,7,15,13,7,Fairly Loyal,Sébastien Larcier
FrA,,-,Head Coach,-,,,10,11,15,13,8,12,14,16,15,Perfectionist,Olivier Guégan
FrA,,-,Head of Youth Development,-,,,7,8,12,13,7,9,16,12,14,Fairly Sporting,Jonas Führer
,Stade Brestois 29,Chief Scout,Scout,"$2,500 p/w",,,13,7,8,5,8,10,3,12,14,Fairly Loyal,Eric Martin
FrA,,-,Technical Director,-,,,8,11,11,12,15,10,15,15,12,Temperamental,Remi Keaveney
FrA,,-,Goalkeeping Coach,-,,,5,7,7,10,6,6,14,14,11,Fairly Professional,Sam Russell
,FC Barcelona,Under 19s Coach,Head of Youth Development,"$3,400 p/w",,,15,15,16,16,16,17,18,15,11,Fairly Determined,Jonathan Pepper
,FC Nantes,Goalkeeping Coach,Goalkeeping Coach,"$5,250 p/w",,,4,8,4,7,8,8,12,11,13,Fairly Professional,Willy Grondin
,Nîmes Olympique,Assistant Coach,Assistant Coach,"$8,500 p/w",,,10,5,5,5,4,7,13,14,13,Balanced,Jérôme Arpinon
FrA,,-,Head of Youth Development,-,,,12,10,11,8,13,12,13,11,17,Fairly Loyal,Nicolas Stahmer
,Vitória de Guimarães,Under 19s Coach,Coach,"$1,400 p/w",,,10,14,11,10,11,15,15,13,13,Fairly Professional,Daniel Moreira
,Troyes AC,General Manager,General Manager,"$1,500 p/w",,,7,5,4,4,5,6,12,14,17,Fairly Professional,Frédéric Paquet
,FC Barcelona,Scout,Scout,"$3,600 p/w",,,9,17,4,7,7,9,15,16,7,Perfectionist,Alberto Acosta
FrA,,-,Head of Youth Development,-,,,12,12,10,12,12,12,11,15,17,Unambitious,Gregor Egerer
FrA,,-,Head of Youth Development,-,,,8,11,11,12,10,10,15,8,16,Balanced,Matthias Rosenlöcher
FrA,,-,Loan Manager,-,,,9,5,8,4,11,5,16,14,9,Balanced,Pascal Chauveau
,Marseille,Physio,Physio,"$4,800 p/w",,,8,5,5,5,5,5,13,14,12,Fairly Ambitious,Pierre Vespignani
FrA,,-,Head Coach,-,,,11,13,11,11,11,12,19,15,9,Fairly Determined,Chris Martin
,Atalanta,Under 20s Goalkeeping Coach,Goalkeeping Coach,"$2,300 p/w",,,4,6,3,6,1,6,16,14,7,Fairly Professional,Giorgio Frezzolini
,Real Betis,Under 19s Physio,Physio,"$3,300 p/w",,,7,5,5,5,5,5,12,12,11,Balanced,Manuel López
FrA,,-,Loan Manager,-,,,7,11,6,8,12,7,14,15,6,Fairly Determined,Aniss Genreau
FrA,,-,Loan Manager,-,,,8,11,7,11,5,10,16,16,12,Resolute,Jean Desbois
,Marseille,Fitness Coach,Fitness Coach,"$2,800 p/w",,,4,4,3,5,4,3,14,10,14,Fairly Loyal,Frédéric Faure
FrA,,-,Head Coach,-,,,12,12,12,12,10,11,17,15,14,Ambitious,Michael Appleton
FrA,,-,Loan Manager,-,,,9,7,10,7,6,10,15,16,16,Fairly Determined,Kylian Faure
,FC Barcelona B,Physio,Physio,"$3,000 p/w",,,8,5,5,12,5,6,13,13,8,Fairly Professional,Aurélien Gauthier
FrA,,-,Scout,-,,,14,12,5,6,5,12,12,13,9,Fairly Loyal,Kevin Reeves
FrA,,-,Technical Director,-,,,10,12,8,7,12,12,17,10,12,Fairly Ambitious,Alexandre Barbier
,Birmingham,Under 23s Assistant Coach,Assistant Coach,"$1,200 p/w",,,6,14,10,12,13,11,15,16,10,Fairly Determined,Luke Morgan
,Lyon,Under 19s Fitness Coach,Fitness Coach,"$2,900 p/w",,,7,7,6,2,7,6,12,12,3,Balanced,Sébastien Renaud
FrA,,-,Technical Director,-,,,8,11,12,11,14,8,14,13,9,Balanced,Loïc Poitrinal
,Reims,Goalkeeping Coach,Goalkeeping Coach,"$1,900 p/w",,,6,3,8,9,8,7,14,13,5,Fairly Professional,Olivier Lagarde
FrA,,-,Head Coach,-,,,15,15,12,13,8,13,8,17,17,Professional,Kenny Jackett
,Sheffield United,Goalkeeping Coach,Goalkeeping Coach,"$1,100 p/w",,,7,7,7,10,7,8,20,11,13,Fairly Loyal,Darren Ward
,OGC Nice,OGC Nice 2 Fitness Coach,Fitness Coach,"$2,400 p/w",,,7,7,7,7,6,7,16,10,17,Fairly Professional,Florian Payet
,Red Star FC,Assistant Coach,Assistant Coach,"$1,300 p/w",,,10,12,12,13,12,11,14,15,6,Resolute,Bouziane Benaraibi
,Paris Saint-Germain,Paris Saint-Germain 2 Assistant Coach,Assistant Coach,"$3,900 p/w",,,7,7,11,11,10,9,15,15,7,Fairly Determined,Lilian Nalis
FrA,,-,Data Analyst,-,,,11,7,7,7,7,12,15,12,8,Balanced,Sébastien Roi
FrA,,-,Assistant Coach,-,,,11,10,12,10,10,11,15,16,12,Professional,Luis Perea
FrA,,-,Assistant Coach,-,,,12,13,11,12,13,11,12,9,14,Balanced,Bernardo Redín
,FC Metz,Technical Director,Technical Director,"$6,500 p/w",,,10,13,13,13,13,11,12,15,8,Resolute,Sébastien Muet
FrA,,-,Assistant Coach,-,,,10,7,10,10,10,8,18,13,6,Balanced,Maher Kanzari
Wnt,,-,Assistant Coach,-,,,13,11,11,11,6,11,15,13,13,Balanced,Stéphane Gilli
FrA,,-,Coach,-,,,10,12,12,13,14,14,13,12,12,Balanced,Tony Pennock
,Wolves,Loan Manager,Loan Manager,"$4,800 p/w",,,6,7,7,4,7,6,17,8,15,Fairly Sporting,Seyi Olofinjana
FrA,,-,Sports Scientist,-,,,10,8,11,5,8,11,16,13,13,Fairly Ambitious,Omar Ndao
FrA,,-,Head of Youth Development,-,,,8,8,9,10,9,9,15,15,4,Unambitious,Sébastien Michaud
,SM Caen,Head of Youth Development,Head of Youth Development,"$3,400 p/w",,,10,9,12,12,10,11,14,16,4,Perfectionist,Bruno Lefevre
,Lyon,Head of Sports Science,Sports Scientist,"$4,600 p/w",,,11,7,7,6,7,8,13,14,7,Fairly Professional,Laurent Bessière
,Real Oviedo,Head of Youth Development,Head of Youth Development,"$4,100 p/w",,,10,4,4,11,11,11,16,13,11,Balanced,Eduardo Rergis
,Eintracht Frankfurt,Head of Youth Development,Head of Youth Development,"$7,500 p/w",,,11,10,10,10,10,10,18,14,15,Balanced,Marco Pezzaiuoli
,Fulham,Coach,Coach,"$4,000 p/w",,,11,9,15,13,13,14,11,15,18,Model Citizen,Mark Pembridge
,Red Star FC,General Manager,General Manager,"$2,000 p/w",,,11,7,7,7,7,7,12,15,4,Fairly Determined,Souleymane Camara
FrA,,-,Head Coach,-,,,13,15,10,7,13,12,18,15,9,Resolute,Sean Parrish
FrA,,-,Head Coach,-,,,11,9,14,14,10,12,18,16,15,Fairly Determined,Marc Schneider
FrA,,-,Coach,-,,,11,12,12,13,12,10,12,14,10,Balanced,Gilles Deshayes
,Arandina,Under 19s Head Coach,Head Coach,$400 p/w,,,11,12,4,10,9,8,15,14,17,Balanced,Miguelito
FrA,,-,Head Coach,-,,,11,10,13,13,7,13,15,20,6,Driven,Branislav Ivanovic
FrA,,-,Head Coach,-,,,14,12,9,12,11,15,18,8,13,Light-Hearted,Aleksandar Jankovic
FrA,,-,Head Coach,-,,,12,7,16,12,12,14,18,11,14,Balanced,Miodrag Radulovic
,Sampdoria,Scout,Scout,"$3,000 p/w",,,9,8,8,4,8,8,13,13,19,Fairly Ambitious,Dejan Vasiljev
,Lille OSC,Scout,Scout,"$2,900 p/w",,,8,9,10,13,9,9,13,16,8,Fairly Determined,Frédéric Brando
,Greuther Fürth,Chief Scout,Scout,$925 p/w,,,6,6,6,6,6,7,4,16,12,Resolute,Sérgio Pinto
FrA,,-,Assistant Coach,-,,,10,6,15,10,9,11,14,14,13,Fairly Sporting,Rob Page
,Swansea,Coach,Coach,"$5,250 p/w",,,14,6,12,16,8,14,15,16,15,Fairly Determined,Martyn Margetson
,VfB Stuttgart,Scout,Scout,"$3,000 p/w",,,9,7,7,7,4,9,2,15,17,Resolute,Gerhard Tremmel
FrA,,-,Head of Youth Development,-,,,12,12,13,12,11,13,12,11,14,Balanced,Ayhan Tumani
FrA,,-,Head Coach,-,,,11,11,14,12,10,11,16,13,12,Professional,Nathan Jones
FrA,,-,General Manager,-,,,7,8,7,8,6,6,11,14,15,Balanced,John Williams
,1860 München,Assistant Coach,Assistant Coach,"$1,400 p/w",,,10,6,13,12,7,13,17,14,14,Fairly Sporting,Oliver Beer
,Karlsruher SC,Technical Director,Technical Director,"$2,100 p/w",,,11,4,4,3,5,3,9,16,17,Professional,Necat Aygün
,Southampton,Chief Scout,Scout,"$6,250 p/w",,,15,10,14,12,11,12,12,12,11,Balanced,David Hughes
FrA,,-,Head Coach,-,,,10,15,9,9,12,11,19,18,12,Model Citizen,Ryan Giggs
FrA,,-,General Manager,-,,,6,7,7,7,7,7,12,13,8,Fairly Professional,Fabrice Herrault
FrA,,-,Loan Manager,-,,,10,8,11,8,7,9,15,8,15,Balanced,Jamie Simpson
,Real Betis,Goalkeeping Coach,Goalkeeping Coach,"$7,250 p/w",,,6,7,8,11,6,5,13,14,10,Balanced,Diego Tuero
FrA,,-,Fitness Coach,-,,,10,5,3,5,4,10,13,13,16,Fairly Professional,Sébastien Lopez-Guia
,CD Mirandés,Goalkeeping Coach,Goalkeeping Coach,$775 p/w,,,10,7,1,9,2,7,19,11,12,Light-Hearted,Manuel Rubio
,Strasbourg,Fitness Coach,Fitness Coach,"$2,700 p/w",,,10,8,6,8,6,8,16,15,9,Fairly Determined,Florian Bailleux
,Nîmes Olympique,General Manager,General Manager,"$9,500 p/w",,,11,8,8,8,4,10,12,14,2,Fairly Ambitious,Réda Hammache
,Reims,Fitness Coach,Fitness Coach,"$3,300 p/w",,,6,7,7,8,8,6,15,10,12,Balanced,Ghislain Dubois
,Norwich,Under 18s Coach,Coach,"$2,200 p/w",,,11,11,14,12,15,11,13,14,8,Fairly Loyal,Joe Shulberg
,TSG 1899 Hoffenheim,Scout,Scout,"$3,600 p/w",,,11,4,7,5,5,7,6,13,17,Balanced,Nuno Félix
,Real Betis,Head of Youth Development,Head of Youth Development,"$12,500 p/w",,,14,8,8,8,7,8,11,16,12,Fairly Determined,Pedro Buenaventura
,FC Barcelona,Under 19s Coach,Assistant Coach,"$2,800 p/w",,,15,13,14,13,14,14,17,15,18,Professional,Sergiy Rebrov
,Le Havre AC,Assistant Coach,Assistant Coach,"$2,500 p/w",,,11,11,12,11,11,10,16,14,14,Fairly Loyal,Mickaël Debève
,Angers SCO,Assistant Coach,Assistant Coach,"$4,700 p/w",,,9,9,10,10,9,12,17,18,9,Perfectionist,Robert Kovac
FrA,,-,Head Coach,-,,,9,9,12,9,10,11,19,14,13,Fairly Loyal,Toñín
FrA,,-,Head Coach,-,,,9,8,10,9,11,12,18,14,8,Fairly Professional,Javi Baraja
,Real Betis,Under 19s Goalkeeping Coach,Goalkeeping Coach,"$3,300 p/w",,,9,7,7,11,6,7,18,13,4,Balanced,Francisco Javier Lledó
,FC Nantes,Assistant Coach,Assistant Coach,"$5,000 p/w",,,9,11,10,15,10,13,13,12,8,Fairly Professional,Patrick Collot
,Eintracht Braunschweig,Goalkeeping Coach,Goalkeeping Coach,"$3,200 p/w",,,16,11,13,16,10,13,14,20,15,Professional,Marco Pascolo
,1.FSV Mainz 05,Goalkeeping Coach,Goalkeeping Coach,"$3,300 p/w",,,6,5,8,7,6,8,12,16,13,Professional,Dimo Wache
,Real Betis,Assistant Coach,Assistant Coach,"$5,250 p/w",,,11,12,6,7,12,14,14,16,11,Professional,Gabi
FrA,,-,Assistant Coach,-,,,12,2,2,9,12,9,19,15,14,Fairly Determined,Mirko Reichel
,Strasbourg,General Manager,General Manager,"$3,400 p/w",,,7,7,6,7,7,8,9,14,15,Balanced,Kader Mangane
,CS Marítimo,Coach,Coach,"$3,200 p/w",,,10,16,7,14,9,12,20,16,17,Perfectionist,Alexander Frei
FrA,,-,Goalkeeping Coach,-,,,4,7,8,9,4,8,14,12,7,Balanced,Paul Gallacher
,CD Tenerife,Head of Youth Development,Head of Youth Development,"$7,250 p/w",,,11,8,7,7,6,5,17,13,15,Balanced,Sesé Rivero
,Angers SCO,Coach,Coach,"$4,800 p/w",,,8,11,10,20,10,10,14,13,16,Balanced,Marc Sellarés
FrA,,-,General Manager,-,,,16,14,6,10,4,10,15,13,13,Fairly Professional,Dougie Freedman
,Watford,Technical Director,Technical Director,"$10,250 p/w",,,11,6,13,14,8,12,10,17,13,Spirited,Eric Roy
,Rayo Vallecano,Goalkeeping Coach,Goalkeeping Coach,"$3,300 p/w",,,9,5,4,10,4,7,3,13,12,Balanced,Jorge Ramírez
,Real Sociedad,Scout,Scout,"$4,100 p/w",,,12,5,6,8,8,9,6,12,13,Balanced,Javi Pérez
,Getafe,Scout,Scout,"$4,400 p/w",,,8,5,7,7,8,7,13,12,7,Balanced,Patri
,Marseille,Marseille 2 Goalkeeping Coach,Goalkeeping Coach,"$3,900 p/w",,,8,1,1,7,12,10,15,12,10,Fairly Professional,Laurent Spinosi
FrA,,-,Sports Scientist,-,,,11,4,8,14,9,9,14,16,12,Fairly Determined,Aeron O'Brien
,Villarreal,Physio,Physio,"$4,300 p/w",,,9,5,5,5,5,5,15,13,2,Balanced,Rodrigo Herrero
,Watford,Physio,Physio,"$1,700 p/w",,,6,5,5,5,5,5,13,12,9,Balanced,Peter Webb
FrA,,-,Assistant Coach,-,,,10,8,14,12,13,13,14,12,8,Fairly Loyal,Maxence Flachez
,Everton,Goalkeeping Coach,Goalkeeping Coach,"$7,250 p/w",,,7,3,6,12,8,7,13,14,17,Professional,Alan Kelly
,West Brom,Under 18s Assistant Coach,Assistant Coach,"$2,500 p/w",,,10,11,13,11,11,12,19,15,7,Resolute,Curtis Fleming
,Norwich,Under 23s Goalkeeping Coach,Goalkeeping Coach,"$1,700 p/w",,,8,4,6,10,14,11,13,16,6,Fairly Determined,Sam Donkin
,Millwall,Head of Youth Development,Head of Youth Development,"$1,500 p/w",,,11,10,14,14,12,12,18,14,15,Spirited,Scott Fitzgerald
,Grenoble Foot 38,General Manager,General Manager,$825 p/w,,,6,7,7,7,6,9,11,15,16,Resolute,Jocelyn Blanchard
Wnt,,-,Assistant Coach,-,,,6,7,8,7,8,7,17,15,16,Resolute,Julián Jiménez
FrA,,-,General Manager,-,,,9,8,8,5,8,7,7,14,13,Fairly Professional,Yossi Benayoun
FrA,,-,Head Coach,-,,,9,8,8,8,5,6,19,12,11,Balanced,Oriol Alsina
FrA,,-,Sports Scientist,-,,,11,11,9,6,10,11,13,11,14,Unambitious,Jaydn Field
FrA,,-,Coach,-,,,7,12,12,12,12,12,13,15,10,Light-Hearted,Rigobert Song
,Stade Brestois 29,Scout,Scout,"$2,300 p/w",,,13,13,9,9,12,11,12,14,9,Model Citizen,Sylvain Legwinski
FrA,,-,Sports Scientist,-,,,7,5,8,12,12,5,12,13,7,Balanced,Lewis Hughes
,Watford,Coach,Coach,"$7,000 p/w",,,9,12,12,12,12,10,14,13,1,Light-Hearted,Laurent Viaud
,Celta Vigo,Scout,Scout,"$3,700 p/w",,,11,9,9,5,8,6,12,12,6,Balanced,Álex Otero
FrA,,-,Technical Director,-,,,8,12,13,8,10,11,15,14,10,Professional,Sebastián Fernández
,Troyes AC,Assistant Coach,Assistant Coach,"$1,500 p/w",,,11,10,12,11,11,11,16,16,12,Fairly Determined,Fabien Lefèvre
,Montpellier HSC,Technical Director,Technical Director,"$9,000 p/w",,,8,8,8,11,9,12,14,12,12,Balanced,Philippe Delaye
FrA,,-,Goalkeeping Coach,-,,,2,4,8,10,6,6,14,8,12,Spirited,Antti Niemi
,Hannover 96,Physio,Physio,"$2,300 p/w",,,3,1,1,1,1,1,12,13,20,Balanced,Thorsten Klopp
,Chievo Verona,Physio,Physio,"$1,900 p/w",,,4,5,5,4,4,4,12,12,7,Fairly Professional,Antonio Agostini
Wnt,,-,Coach,-,,,8,13,11,8,12,12,17,14,11,Fairly Loyal,André Pawlak
,FC Ingolstadt 04,Coach,Coach,"$2,300 p/w",,,11,11,13,11,13,12,16,12,12,Balanced,Roberto Pätzold
FrA,,-,Goalkeeping Coach,-,,,3,5,8,11,6,6,17,13,8,Balanced,Nico Stremlau
,Lille OSC,Fitness Coach,Fitness Coach,"$4,300 p/w",,,8,8,6,4,2,7,15,9,12,Balanced,Eduardo Parra
FrA,,-,Head Coach,-,,,13,13,11,13,14,12,13,15,14,Resolute,Jan Siewert
,VfL Wolfsburg,Scout,Scout,"$3,500 p/w",,,14,8,7,6,4,10,5,13,13,Balanced,Uli Mohr
,SD Huesca,Goalkeeping Coach,Goalkeeping Coach,"$3,100 p/w",,,4,4,8,6,7,5,12,11,19,Fairly Sporting,Adrián Mallén
,Sassuolo,Scout,Scout,"$2,000 p/w",,,13,6,5,8,8,12,13,14,8,Balanced,Mario Faccenda
,Genoa,Under 20s Fitness Coach,Fitness Coach,"$1,500 p/w",,,4,6,5,6,3,4,13,13,15,Balanced,Mattia Roselli
FrA,,-,Assistant Coach,-,,,14,9,17,9,10,16,15,13,17,Balanced,Lorenzo Rubinacci
,Lille OSC,Lille OSC 2 Goalkeeping Coach,Goalkeeping Coach,"$3,900 p/w",,,6,8,8,6,8,5,13,13,8,Fairly Professional,Grégory Wimbée
,QRM,Assistant Coach,Assistant Coach,"$1,000 p/w",,,13,11,9,11,8,16,13,13,12,Fairly Loyal,Serge Le Dizet
FrA,,-,Scout,-,,,10,5,7,11,10,8,4,15,12,Fairly Determined,Severin Mihm
,TSG 1899 Hoffenheim,Scout,Scout,"$2,500 p/w",,,12,7,7,8,8,11,12,13,12,Balanced,Martin Siegbert
,Sampdoria,Scout,Scout,"$3,200 p/w",,,15,8,8,8,8,11,11,15,18,Fairly Determined,Gianfranco Luporini
FrA,,-,Technical Director,-,,,10,12,13,7,12,9,15,15,12,Fairly Determined,Gabriele Michielin
,FC Nantes,FC Nantes 2 Goalkeeping Coach,Goalkeeping Coach,"$2,100 p/w",,,5,2,1,9,4,5,19,12,5,Fairly Professional,Eric Loussouarn
FrA,,-,Head of Youth Development,-,,,12,10,9,13,9,12,18,12,12,Light-Hearted,Stefano Vacca
,Udinese,Chief Scout,Scout,"$4,400 p/w",,,9,6,7,4,4,8,13,14,8,Fairly Ambitious,Andrea Carnevale
,Werder Bremen,Chief Data Analyst,Data Analyst,"$2,100 p/w",,,15,8,5,4,8,8,5,15,15,Fairly Determined,Mario Baric
FrA,,-,Head of Youth Development,-,,,12,13,12,8,10,14,15,16,10,Unambitious,Samuele Vitale
,Cosenza,Head of Youth Development,Head of Youth Development,"$1,000 p/w",,,10,13,10,15,13,9,16,13,13,Fickle,Silvio Probo
FrA,,-,Loan Manager,-,,,10,4,9,4,8,10,12,13,12,Fairly Loyal,Manfred Hölzenbein
,Deportivo de La Coruña,Physio,Physio,"$3,700 p/w",,,5,5,5,4,5,5,14,8,12,Balanced,Manuel Ricis
FrA,,-,Physio,-,,,10,7,8,17,7,6,18,12,7,Spirited,David Rincón
,OGC Nice,Assistant Coach,Assistant Coach,"$5,500 p/w",,,11,12,11,11,9,10,14,14,16,Fairly Professional,Frédéric Gioria
Wnt,1860 München,Coach,Coach,"$2,100 p/w",,,9,10,11,13,12,8,19,14,18,Balanced,Darius Scholtysik
,Eintracht Frankfurt,Scout,Scout,"$2,000 p/w",,,12,8,8,5,8,10,4,13,12,Balanced,Babacar Wane
,US Orléans,Head of Youth Development,Head of Youth Development,"$1,800 p/w",,,10,10,10,14,10,11,15,13,13,Fairly Loyal,Armindo Ferreira
FrA,,-,Head of Youth Development,-,,,10,14,14,15,11,10,19,16,15,Realist,Alex Wilson
FrA,,-,Coach,-,,,9,10,16,9,9,11,14,18,15,Driven,Paul Wotton
,US Orléans,Head Physio,Coach,"$1,100 p/w",,,7,11,11,11,13,11,14,13,8,Balanced,Hamidou Msaidie
,CD Numancia,General Manager,General Manager,"$5,250 p/w",,,7,7,7,7,4,7,13,16,16,Fairly Determined,César Palacios
,Stoke,Assistant Coach,Assistant Coach,"$2,200 p/w",,,11,10,17,13,18,15,12,13,14,Balanced,Ian Woan
FrA,,-,Assistant Coach,-,,,10,11,9,11,9,10,18,13,8,Balanced,Jesús Cañadas
FrA,,-,Coach,-,,,11,12,12,8,11,13,20,16,10,Fairly Determined,Fran Fernández
